doc.query,map
nnn.nnn,0.13356790786009703
nnn.nnc,0.1356368514848931
nnn.ntn,0.1983299738965762
nnn.ntc,0.1983299738965762
nnn.lnn,0.13501343088498519
nnn.lnc,0.13673092205277323
nnn.ltn,0.1999754090023288
nnn.ltc,0.1999754090023288
nnn.ann,0.1353707943621899
nnn.anc,0.1370620551240162
nnn.atn,0.20188313598042612
nnn.atc,0.20188313598042612
nnn.bnn,0.13599748721666055
nnn.bnc,0.13756090758752068
nnn.btn,0.20323404643583393
nnn.btc,0.20323404643583393
nnc.nnn,0.26083701929861136
nnc.nnc,0.26105277473658905
nnc.ntn,0.3152580040748711
nnc.ntc,0.3152580040748711
nnc.lnn,0.26261429977560324
nnc.lnc,0.2628300552135809
nnc.ltn,0.3173373983450367
nnc.ltc,0.3173373983450367
nnc.ann,0.26630505511080305
nnc.anc,0.2665208105487807
nnc.atn,0.31934294705284055
nnc.atc,0.31934294705284055
nnc.bnn,0.2651126715684195
nnc.bnc,0.26532842700639714
nnc.btn,0.3197168210605807
nnc.btc,0.3197168210605807
ntn.nnn,0.1983299738965762
ntn.nnc,0.1983299738965762
ntn.ntn,0.22860511637336456
ntn.ntc,0.22860511637336456
ntn.lnn,0.1999754090023288
ntn.lnc,0.1999754090023288
ntn.ltn,0.23071501723088444
ntn.ltc,0.23071501723088444
ntn.ann,0.20188313598042612
ntn.anc,0.20188313598042612
ntn.atn,0.23165445665683182
ntn.atc,0.23165445665683182
ntn.bnn,0.20323404643583393
ntn.bnc,0.20323404643583393
ntn.btn,0.23184110338441172
ntn.btc,0.23184110338441172
ntc.nnn,0.2992788944315393
ntc.nnc,0.2992788944315393
ntc.ntn,0.3166233114962099
ntc.ntc,0.3166233114962099
ntc.lnn,0.30156843349819495
ntc.lnc,0.30156843349819495
ntc.ltn,0.31753578538595656
ntc.ltc,0.31753578538595656
ntc.ann,0.30201274309316595
ntc.anc,0.30201274309316595
ntc.atn,0.31879979271634196
ntc.atc,0.31879979271634196
ntc.bnn,0.30372576096888226
ntc.bnc,0.30372576096888226
ntc.btn,0.317799066517203
ntc.btc,0.317799066517203
lnn.nnn,0.21301392959799936
lnn.nnc,0.21331766372395572
lnn.ntn,0.2870116973516416
lnn.ntc,0.2870116973516416
lnn.lnn,0.2134432696142441
lnn.lnc,0.21374700374020042
lnn.ltn,0.2880641840379906
lnn.ltc,0.2880641840379906
lnn.ann,0.21326430574546543
lnn.anc,0.2135680398714218
lnn.atn,0.2864170519226045
lnn.atc,0.2864170519226045
lnn.bnn,0.21198093879397678
lnn.bnc,0.21235182798708824
lnn.btn,0.28525711121796693
lnn.btc,0.28525711121796693
lnc.nnn,0.2951715003135562
lnc.nnc,0.2951715003135562
lnc.ntn,0.35170809697965444
lnc.ntc,0.35170809697965444
lnc.lnn,0.29524862963744986
lnc.lnc,0.29524862963744986
lnc.ltn,0.3537180265562507
lnc.ltc,0.3537180265562507
lnc.ann,0.29643058178289405
lnc.anc,0.29643058178289405
lnc.atn,0.3560233464274435
lnc.atc,0.3560233464274435
lnc.bnn,0.29530432388441397
lnc.bnc,0.29530432388441397
lnc.btn,0.3532076872367927
lnc.btc,0.3532076872367927
ltn.nnn,0.2870116973516416
ltn.nnc,0.2870116973516416
ltn.ntn,0.2890684711652486
ltn.ntc,0.2890684711652486
ltn.lnn,0.2880641840379906
ltn.lnc,0.2880641840379906
ltn.ltn,0.2888278881338287
ltn.ltc,0.2888278881338287
ltn.ann,0.2864170519226045
ltn.anc,0.2864170519226045
ltn.atn,0.289942563374057
ltn.atc,0.289942563374057
ltn.bnn,0.28525711121796693
ltn.bnc,0.28525711121796693
ltn.btn,0.2883262085737435
ltn.btc,0.2883262085737435
ltc.nnn,0.32437686789677406
ltc.nnc,0.32437686789677406
ltc.ntn,0.3333953709976288
ltc.ntc,0.3333953709976288
ltc.lnn,0.32509150879940185
ltc.lnc,0.32509150879940185
ltc.ltn,0.3345143025364016
ltc.ltc,0.3345143025364016
ltc.ann,0.32638275115226045
ltc.anc,0.32638275115226045
ltc.atn,0.3339778049070468
ltc.atc,0.3339778049070468
ltc.bnn,0.3251341909431183
ltc.bnc,0.3251341909431183
ltc.btn,0.33231838873532915
ltc.btc,0.33231838873532915
ann.nnn,0.2678333240987003
ann.nnc,0.2672515237561857
ann.ntn,0.3246085825419304
ann.ntc,0.3246085825419304
ann.lnn,0.2659083902729728
ann.lnc,0.26537876573818964
ann.ltn,0.32364486513059393
ann.ltc,0.32364486513059393
ann.ann,0.26790943367401615
ann.anc,0.2672832369871052
ann.atn,0.3238369569306224
ann.atc,0.3238369569306224
ann.bnn,0.26638213293242974
ann.bnc,0.26559573854946256
ann.btn,0.32205680736237763
ann.btc,0.32205680736237763
anc.nnn,0.28231454146472007
anc.nnc,0.28231454146472007
anc.ntn,0.3289862587506333
anc.ntc,0.3289862587506333
anc.lnn,0.28095127539777437
anc.lnc,0.28095127539777437
anc.ltn,0.3313129936225703
anc.ltc,0.3313129936225703
anc.ann,0.2801785979256019
anc.anc,0.2801785979256019
anc.atn,0.3324192241938802
anc.atc,0.3324192241938802
anc.bnn,0.28130486410504274
anc.bnc,0.28130486410504274
anc.btn,0.3320747277144631
anc.btc,0.3320747277144631
atn.nnn,0.3246085825419304
atn.nnc,0.3246085825419304
atn.ntn,0.3068271310378117
atn.ntc,0.30681654902722966
atn.lnn,0.32364486513059393
atn.lnc,0.32364486513059393
atn.ltn,0.3062601022022237
atn.ltc,0.3062495201916417
atn.ann,0.3238369569306224
atn.anc,0.3238369569306224
atn.atn,0.305001861398348
atn.atc,0.304991279387766
atn.bnn,0.32205680736237763
atn.bnc,0.32205680736237763
atn.btn,0.3050457957268061
atn.btc,0.3050352137162241
atc.nnn,0.3017823411469854
atc.nnc,0.3017823411469854
atc.ntn,0.307293898518475
atc.ntc,0.307293898518475
atc.lnn,0.3025097499081243
atc.lnc,0.3025097499081243
atc.ltn,0.3072916104158983
atc.ltc,0.3072916104158983
atc.ann,0.30332488377484557
atc.anc,0.30332488377484557
atc.atn,0.3071704209058198
atc.atc,0.3071704209058198
atc.bnn,0.30108397754703453
atc.bnc,0.30108397754703453
atc.btn,0.30786574087098106
atc.btc,0.30786574087098106
bnn.nnn,0.2013867652321722
bnn.nnc,0.20127679953649225
bnn.ntn,0.26104009510235016
bnn.ntc,0.26104009510235016
bnn.lnn,0.2002634791707909
bnn.lnc,0.19979181256579098
bnn.ltn,0.2601893574214537
bnn.ltc,0.2601893574214537
bnn.ann,0.2002931088004205
bnn.anc,0.20055111992509833
bnn.atn,0.25985898353314324
bnn.atc,0.25985898353314324
bnn.bnn,0.19462262342160183
bnn.bnc,0.19462262342160183
bnn.btn,0.25512128882445295
bnn.btc,0.25512128882445295
bnc.nnn,0.24369738913918818
bnc.nnc,0.24376515294504722
bnc.ntn,0.29154668892490776
bnc.ntc,0.29154668892490776
bnc.lnn,0.24295652515442098
bnc.lnc,0.24302428896028003
bnc.ltn,0.29242892159523554
bnc.ltc,0.29242892159523554
bnc.ann,0.24164668968098513
bnc.anc,0.24174408311647386
bnc.atn,0.29224629079707587
bnc.atc,0.29224629079707587
bnc.bnn,0.24138878344847572
bnc.bnc,0.2414565472543348
bnc.btn,0.2921882361105941
bnc.btc,0.2921882361105941
btn.nnn,0.26104009510235016
btn.nnc,0.26104009510235016
btn.ntn,0.25197066396588785
btn.ntc,0.25197066396588785
btn.lnn,0.2601893574214537
btn.lnc,0.2601893574214537
btn.ltn,0.25135175170664376
btn.ltc,0.25135175170664376
btn.ann,0.25985898353314324
btn.anc,0.25985898353314324
btn.atn,0.25181835077483017
btn.atc,0.25181835077483017
btn.bnn,0.25512128882445295
btn.bnc,0.25512128882445295
btn.btn,0.24862807507730328
btn.btc,0.24862807507730328
btc.nnn,0.26160709555965256
btc.nnc,0.26160709555965256
btc.ntn,0.2602833054386878
btc.ntc,0.2602833054386878
btc.lnn,0.2626044846050574
btc.lnc,0.2626044846050574
btc.ltn,0.2610167809578775
btc.ltc,0.2610167809578775
btc.ann,0.26362657223230374
btc.anc,0.26362657223230374
btc.atn,0.26122462208794095
btc.atc,0.26122462208794095
btc.bnn,0.262204729967893
btc.bnc,0.262204729967893
btc.btn,0.26175281902328074
btc.btc,0.26175281902328074
